dataset,model,precision,total_energy_mj,mean_ci95_mj,mean_latency_ms,p99_latency_ms,mean_auc,mean_auc_std,mean_score_drift,base_mj,energy_saving_pct,energy_per_1k_mj
HM Ranking,CatBoost,BF16,6733.9081,59.0194,9.2124,15.3557,0.6576,0.0,0.0,7417.1067,9.21,87.2343
HM Ranking,CatBoost,FP16,16046.1965,112.7484,23.9981,35.1498,0.6493,0.0,0.0,7417.1067,-116.34,188.0279
HM Ranking,CatBoost,FP32,6890.3508,62.0802,9.4612,15.892,0.6388,0.0,0.0,7417.1067,7.1,76.1661
HM Ranking,CatBoost,FP64,7417.1067,51.2386,10.2716,14.3304,0.651,0.0,0.0,7417.1067,0.0,89.2116
HM Ranking,LightGBM,BF16,94738.1108,629.5807,148.9677,196.81,0.6486,0.0,0.0,94891.0766,0.16,862.1681
HM Ranking,LightGBM,FP16,102030.5492,662.8498,160.5336,217.2338,0.6629,0.0,0.0,94891.0766,-7.52,941.0556
HM Ranking,LightGBM,FP32,92611.8876,595.8097,145.5652,192.5985,0.6548,0.0,0.0,94891.0766,2.4,894.4135
HM Ranking,LightGBM,FP64,94891.0766,621.595,149.2199,198.6495,0.6455,0.0,0.0,94891.0766,0.0,857.5184
HM Ranking,XGBoost,BF16,46378.5111,460.4864,72.143,107.4667,0.7048,0.0,0.0,48415.5218,4.21,497.7113
HM Ranking,XGBoost,FP16,59210.9309,575.718,92.4894,137.1057,0.6488,0.0,0.0,48415.5218,-22.3,571.7245
HM Ranking,XGBoost,FP32,48170.9391,471.981,74.9445,106.8477,0.6613,0.0,0.0,48415.5218,0.51,435.28
HM Ranking,XGBoost,FP64,48415.5218,469.4435,75.4231,107.2968,0.6827,0.0,0.0,48415.5218,0.0,449.131
IEEE-CIS Fraud,CatBoost,BF16,34755.3917,273.1237,53.661,78.1955,0.6174,0.0,0.0002,51516.0873,32.53,362.1427
IEEE-CIS Fraud,CatBoost,FP16,122936.5471,880.4026,193.7758,264.3874,0.7321,0.0,0.0,51516.0873,-138.64,1087.3814
IEEE-CIS Fraud,CatBoost,FP32,33433.0421,226.4293,51.5824,71.3394,0.661,0.0,0.0,51516.0873,35.1,291.5523
IEEE-CIS Fraud,CatBoost,FP64,51516.0873,251.4606,80.0505,101.1592,0.5997,0.0,0.0,51516.0873,0.0,377.7942
IEEE-CIS Fraud,LightGBM,BF16,204966.288,1179.7947,323.9674,456.1308,0.6002,0.0,0.0003,222574.5533,7.91,1925.8668
IEEE-CIS Fraud,LightGBM,FP16,287449.9504,1572.9013,455.0485,592.5412,0.6481,0.0,0.0,222574.5533,-29.15,2687.9343
IEEE-CIS Fraud,LightGBM,FP32,199175.0933,968.4918,314.8141,403.0982,0.7169,0.0,0.0,222574.5533,10.51,1812.7639
IEEE-CIS Fraud,LightGBM,FP64,222574.5533,1244.4661,350.7609,482.0297,0.6741,0.0,0.0,222574.5533,0.0,1895.3143
IEEE-CIS Fraud,XGBoost,BF16,105237.7491,936.037,165.6486,236.4098,0.6841,0.0,0.0001,131277.21,19.84,968.1252
IEEE-CIS Fraud,XGBoost,FP16,211641.1972,1541.9853,334.62,460.5344,0.7561,0.0,0.0,131277.21,-61.22,1997.3955
IEEE-CIS Fraud,XGBoost,FP32,104128.3094,953.1076,163.7773,250.9358,0.6723,0.0,0.0,131277.21,20.68,1030.1871
IEEE-CIS Fraud,XGBoost,FP64,131277.21,1273.7338,206.6513,354.7271,0.6621,0.0,0.0,131277.21,0.0,999.1841
