dataset,model,stage,batch_size,comparison,mean_a_mj,mean_b_mj,saving_pct,wilcoxon_p,effect_size_r,significant
IEEE-CIS Fraud,LightGBM,preprocessing,100,FP32 vs FP64,98.6847,358.5015,72.47,0.0,0.963,YES
IEEE-CIS Fraud,LightGBM,preprocessing,100,FP16 vs FP64,183.8972,358.5015,48.7,0.00033,0.772,YES
IEEE-CIS Fraud,LightGBM,preprocessing,100,BF16 vs FP64,101.8253,358.5015,71.6,0.0,0.969,YES
IEEE-CIS Fraud,LightGBM,preprocessing,1000,FP32 vs FP64,183.2188,250.1424,26.75,0.0,0.969,YES
IEEE-CIS Fraud,LightGBM,preprocessing,1000,FP16 vs FP64,1014.0337,250.1424,-305.38,0.0,1.0,YES
IEEE-CIS Fraud,LightGBM,preprocessing,1000,BF16 vs FP64,250.7497,250.1424,-0.24,0.87399,0.04,NO
IEEE-CIS Fraud,LightGBM,preprocessing,10000,FP32 vs FP64,1054.1886,1784.1558,40.91,0.0,1.0,YES
IEEE-CIS Fraud,LightGBM,preprocessing,10000,FP16 vs FP64,9054.2736,1784.1558,-407.48,0.0,1.0,YES
IEEE-CIS Fraud,LightGBM,preprocessing,10000,BF16 vs FP64,1511.925,1784.1558,15.26,0.00737,0.6,YES
IEEE-CIS Fraud,LightGBM,preprocessing,100000,FP32 vs FP64,12048.7541,29688.5509,59.42,0.0,1.0,YES
IEEE-CIS Fraud,LightGBM,preprocessing,100000,FP16 vs FP64,87956.8025,29688.5509,-196.27,0.0,1.0,YES
IEEE-CIS Fraud,LightGBM,preprocessing,100000,BF16 vs FP64,13307.3602,29688.5509,55.18,0.0,1.0,YES
IEEE-CIS Fraud,LightGBM,inference,100,FP32 vs FP64,332.4916,1004.7107,66.91,0.0,1.0,YES
IEEE-CIS Fraud,LightGBM,inference,100,FP16 vs FP64,343.4172,1004.7107,65.82,0.0,1.0,YES
IEEE-CIS Fraud,LightGBM,inference,100,BF16 vs FP64,407.6824,1004.7107,59.42,2e-05,0.877,YES
IEEE-CIS Fraud,LightGBM,inference,1000,FP32 vs FP64,2009.6184,1904.9035,-5.5,0.24107,0.274,NO
IEEE-CIS Fraud,LightGBM,inference,1000,FP16 vs FP64,1954.6423,1904.9035,-2.61,0.57821,0.132,NO
IEEE-CIS Fraud,LightGBM,inference,1000,BF16 vs FP64,1819.3583,1904.9035,4.49,0.33879,0.225,NO
IEEE-CIS Fraud,LightGBM,inference,10000,FP32 vs FP64,16987.1872,17081.6528,0.55,0.5424,0.145,NO
IEEE-CIS Fraud,LightGBM,inference,10000,FP16 vs FP64,17734.1828,17081.6528,-3.82,0.47416,0.169,NO
IEEE-CIS Fraud,LightGBM,inference,10000,BF16 vs FP64,17652.4865,17081.6528,-3.34,0.65284,0.108,NO
IEEE-CIS Fraud,LightGBM,inference,100000,FP32 vs FP64,166085.6836,169805.9531,2.19,0.67208,0.102,NO
IEEE-CIS Fraud,LightGBM,inference,100000,FP16 vs FP64,168826.9157,169805.9531,0.58,0.8532,0.046,NO
IEEE-CIS Fraud,LightGBM,inference,100000,BF16 vs FP64,169514.5513,169805.9531,0.17,0.5077,0.157,NO
IEEE-CIS Fraud,LightGBM,postprocessing,100,FP32 vs FP64,78.0132,389.2166,79.96,0.0,1.0,YES
IEEE-CIS Fraud,LightGBM,postprocessing,100,FP16 vs FP64,81.6833,389.2166,79.01,0.0,1.0,YES
IEEE-CIS Fraud,LightGBM,postprocessing,100,BF16 vs FP64,84.2607,389.2166,78.35,0.0,0.975,YES
IEEE-CIS Fraud,LightGBM,postprocessing,1000,FP32 vs FP64,84.2553,81.8549,-2.93,0.9158,0.028,NO
IEEE-CIS Fraud,LightGBM,postprocessing,1000,FP16 vs FP64,83.3008,81.8549,-1.77,0.81193,0.058,NO
IEEE-CIS Fraud,LightGBM,postprocessing,1000,BF16 vs FP64,79.8419,81.8549,2.46,0.69152,0.095,NO
IEEE-CIS Fraud,LightGBM,postprocessing,10000,FP32 vs FP64,86.2628,87.334,1.23,0.63383,0.114,NO
IEEE-CIS Fraud,LightGBM,postprocessing,10000,FP16 vs FP64,90.8864,87.334,-4.07,0.9368,0.022,NO
IEEE-CIS Fraud,LightGBM,postprocessing,10000,BF16 vs FP64,94.2567,87.334,-7.93,0.11993,0.36,NO
IEEE-CIS Fraud,LightGBM,postprocessing,100000,FP32 vs FP64,126.735,137.5771,7.88,0.19081,0.305,NO
IEEE-CIS Fraud,LightGBM,postprocessing,100000,FP16 vs FP64,125.9149,137.5771,8.48,0.36659,0.212,NO
IEEE-CIS Fraud,LightGBM,postprocessing,100000,BF16 vs FP64,141.9898,137.5771,-3.21,0.26348,0.262,NO
IEEE-CIS Fraud,XGBoost,preprocessing,100,FP32 vs FP64,96.9129,102.5201,5.47,0.00418,0.637,YES
IEEE-CIS Fraud,XGBoost,preprocessing,100,FP16 vs FP64,182.9692,102.5201,-78.47,0.0,1.0,YES
IEEE-CIS Fraud,XGBoost,preprocessing,100,BF16 vs FP64,103.1637,102.5201,-0.63,0.27518,0.255,NO
IEEE-CIS Fraud,XGBoost,preprocessing,1000,FP32 vs FP64,167.2551,253.0788,33.91,0.0,1.0,YES
IEEE-CIS Fraud,XGBoost,preprocessing,1000,FP16 vs FP64,960.139,253.0788,-279.38,0.0,1.0,YES
IEEE-CIS Fraud,XGBoost,preprocessing,1000,BF16 vs FP64,270.0316,253.0788,-6.7,0.97892,0.009,NO
